Foreign,#genre#	
伊朗Rangarang TV,http://iptv.rangarang.us/live/playlist.m3u8
阿拉伯半岛电视新闻网Al Hurra,http://mbnhls-lh.akamaihd.net/i/MBN_1@118619/master.m3u8
阿拉伯半岛电视新闻网CGTN,http://live.cgtn.com/1000a/prog_index.m3u8
阿拉伯半岛电视新闻网Deutsche Welle,http://dwstream2-lh.akamaihd.net/i/dwstream2_live@124400/master.m3u8
阿拉伯半岛电视新闻网TRT,http://trtcanlitv-lh.akamaihd.net/i/TRTARAPCA_1@181945/master.m3u8
黎巴嫩Al Manar,http://live.mediaforall.net:1935/liveorigin/livestream_480p/playlist.m3u8
伊拉克 Sharqiya News,http://ns8.indexforce.com:1935/alsharqiyalive/mystream/playlist.m3u8
阿拉伯联合酋长国Abu Dhabi Sports 2 HD (Opt-2),http://adtv.ercdn.net/adsport2/adsport2.m3u8
阿拉伯联合酋长国Abu Dhabi Sports 2 HD (Opt-3),http://adtv.ercdn.net/adsport2/adsport2_720p.m3u8
阿拉伯联合酋长国Al Arabiya,http://www.elahmad.com/tv/m3u8/arabiya.m3u8?id=aa
阿拉伯联合酋长国Dubai One,http://www.elahmad.com/tv/m3u8/dubaitv.m3u8?id=dubaione
卡塔尔 Al Kass Sports 3,http://www.elahmad.com/tv/m3u8/alkass.m3u8?id=alkass3
卡塔尔 Al Kass Sports 4,http://www.elahmad.com/tv/m3u8/alkass.m3u8?id=alkass4
摩洛哥Al Aoula International,http://cdn-hls.globecast.tv/live/ramdisk/al_aoula_inter/hls_snrt/index.m3u8
摩洛哥Arryadia,http://cdn-hls.globecast.tv/live/ramdisk/arriadia/hls_snrt/index.m3u8
摩洛哥Al Maghribia,http://cdn-hls.globecast.tv/live/ramdisk/al_maghribia_snrt/hls_snrt/index.m3u8
高清时装台WFC,http://wfc.bonus-tv.ru:80/cdn/wfcint/tracks-v2a1/index.m3u8
TRAVEL HD,http://31.13.223.104:1935/travel/community.stream/playlist.m3u8
Porn,#genre#	
/*流畅*/
Ad1,http://edge2.everyon.tv/etv2sb/pld10501/playlist.m3u8
Ad2,http://edge2.everyon.tv/etv2sb/pld10769/playlist.m3u8
Ad3,http://edge2.everyon.tv/etv2sb/pld10771/playlist.m3u8
/*拍摄花絮*/
Ad4,http://edge1.everyon.tv:1935/etv1sb/phd10765/chunklist.m3u8
Ad5,http://123.108.164.110/etv1sb/pld10928/playlist.m3u8
Ad6,http://123.108.164.110/etv1sb/phd10765/playlist.m3u8
Ad7,http://123.108.164.110/etv1sb/phd10927/playlist.m3u8
Ad8,http://123.108.164.110/etv1sb/pld10497/playlist.m3u8
Ad9,http://123.108.164.110/etv1sb/pld10766/playlist.m3u8
Ad10,http://edge2.everyon.tv/etv2sb/pld10499/playlist.m3u8
/*卡*/
Ad11,rtsp://ec.playmedia.fr:1935/gong-base/live
Ad12,http://edge2.everyon.tv/etv2sb/pld10062/playlist.m3u8
Ad13,http://edge2.everyon.tv/etv2sb/pld10499/playlist.m3u8
Ad14,http://edge2.everyon.tv/etv2sb/pld10501/playlist.m3u8
Ad15,http://edge2.everyon.tv/etv2sb/pld10769/playlist.m3u8
Ad16,http://edge2.everyon.tv/etv2sb/pld10771/playlist.m3u8

#EXTINF:tvg-logo=““,国外RAI MOVIE
http://b2everyrai-lh.akamaihd.net/i/raimovie_1@67348/master.m3u8

#EXTINF:tvg-logo=““,国外HBO
http://161.0.157.38/PLTV/88888888/224/3221226127/index.m3u8

#EXTINF:tvg-logo=““,国外HBO 2
http://161.0.157.5/PLTV/88888888/224/3221227026/03.m3u8?fluxustv.m3u8

#EXTINF:tvg-logo=““,国外FOX MOVIES PREMIUM*
http://161.0.157.6/PLTV/88888888/224/3221226321/index.m3u8

#EXTINF:tvg-logo=““,国外FOX MOVIES COMEDY
http://161.0.157.9/PLTV/88888888/224/3221226800/03.m3u8

#EXTINF:tvg-logo=“https://s.kaskus.id/r480x480/images/fjb/2017/09/26/tmp_phpwqzg7j_3528521_1506393197.jpg“,国外FASHION HD
http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8

#EXTINF:tvg-logo=““,国外CNN*
http://161.0.157.7/PLTV/88888888/224/3221226781/index.m3u8

#EXTINF:tvg-logo=“https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/CBS_logo.svg/200px-CBS_logo.svg.png“ group-title=“综合“,国外CBS
http://161.0.157.50/PLTV/88888888/224/3221227041/index.m3u8

#EXTINF:tvg-logo=“https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/MTV_Logo_2010.svg/200px-MTV_Logo_2010.svg.png“,国外MTV音乐台 HD
http://unilivemtveu-lh.akamaihd.net/i/mtvno_1@346424/master.m3u8

#EXTINF:tvg-logo=““,国外MTV音乐台2
http://wow01.105.net:1935/live/rmc1/livestream.m3u8

#EXTINF:tvg-logo=““,国外MTV HD德国
http://de1se01.v2beat.live/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://www.vishwaguruji.org/images/our-projects/swamiji-tv.jpg" group-title="HINDUISM",国外Swamiji TV (Austria)
http://stream.swamiji.tv/YogaIPTV/smil:YogaStream.smil/chunklist_w1606422831_b400000.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.tvland.co.il/Pics/hidabrutbig.jpg" group-title="JUDAISM",国外Hidabroot TV (Israel)
https://stream72.shidur.net/htvlive2/_definst_/smil:live2.smil/chunklist_b1248000.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.tvland.co.il/Pics/hidabrutbig.jpg" group-title="JUDAISM",国外Hidabroot TV** (Israel)
https://stream71.shidur.net/htvlive2/_definst_/smil:live2.smil/chunklist_b1248000.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://upload.wikimedia.org/wikipedia/en/7/79/JBS_Shalom_TV_Logo.jpg" group-title="JUDAISM",国外Jewish Broadcasting Service (USA)
http://uni8rtmp.tulix.tv:1935/shalomtv-pc/smil:shalomtv.smil/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://shemeshnet.co.il/uploads/w-480/1494574673.7257.jpg" group-title="JUDAISM",国外Kabbalah for the People (Israel)
http://edge1.il.kab.tv/rtplive/tv66-heb-high.stream/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.iconsdb.com/icons/preview/persian-red/tv-xxl.png" group-title="国外JUDAISM",Musayof (Israel)
http://wowza.media-line.co.il/Musayof-Live/livestream.sdp/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://upload.wikimedia.org/wikipedia/en/7/72/CatholicTV_logo.png" group-title="CATHOLICISM",国外Catholic TV (USA)
http://catholictvhd-lh.akamaihd.net:80/i/ctvhd_1@88148/master.m3u8

#EXTINF:-1 tvg-logo="http://www.freeetv.com/images/01_logo/christian_youth_channel_usa.jpg" group-title="CATHOLICISM",国外Christian Youth Channel (Egypt)
http://media.smc-host.com:1935/cycnow.com/cyc2/chunklist_w884806316.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://i2.wp.com/zubifun.net/wp-content/uploads/2017/01/Divine-Vision-Network-Live-TV.jpg" group-title="CATHOLICISM",国外Divine Vision Network (USA)
http://divineplayout-us2.tulix.tv/live/Stream1/.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://pbs.twimg.com/profile_images/1131290789/fnlLogo_400x400.png" group-title="CATHOLICISM",国外Faith and Life TV (USA)
http://na-all9.secdn.net/logos-channel/live/faithlifetv/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.jrescatolicos.org/wp-content/uploads/2016/06/alogo.png" group-title="CATHOLICISM",国外JRES TV (USA) [ES]
http://teleredmcp.com:1935/jrestv/jrestv/chunklist_w1193494329.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://channels.roku.com/images/75c1c6f4ae854328b5788a154d005e9f-hd.jpg" group-title="CATHOLICISM",国外Salt and Light TV (Canada)
http://livestream.5centscdn.com/slworld/d65ce2bdd03471fde0a1dc5e01d793bb.sdp/index.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://raw.githubusercontent.com/jnk22/kodinerds-iptv/master/logos/tv/ktv.png" group-title="CATHOLICISM",国外K-TV (Austria)
http://d1pz8zear993v8.cloudfront.net/hlsme/kathtv.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://www.don-bosco.net/images/stories/articles/actualites2/2015/01-janvier/petites/KTOTV_Salesiens_Bosco.jpg" group-title="CATHOLICISM",国外KTO (France)
